yr,mon,arr_hour,delay_type,type_count
2010,4,18,Slight,7491
2010,4,18,Moderate,3574
2010,4,18,Severe,2572
2010,4,19,None,20929
2010,4,19,Slight,7643
2010,4,19,Moderate,3645
2010,4,19,Severe,2554
2010,4,20,None,21862
2010,4,20,Slight,7917
2010,4,20,Moderate,3947
2010,4,20,Severe,2919
2010,4,21,None,17498
2010,4,21,Slight,6132
2010,4,21,Moderate,3402
2010,4,21,Severe,2481
2010,4,22,None,15510
2010,4,22,Slight,5754
2010,4,22,Moderate,3195
2010,4,22,Severe,2272
2010,4,23,None,11483
2010,4,23,Slight,4246
2010,4,23,Moderate,2165
2010,4,23,Severe,1502
2010,5,0,None,1933
2010,5,0,Slight,831
2010,5,0,Moderate,551
2010,5,0,Severe,504
2010,5,1,None,268
2010,5,1,Slight,107
2010,5,1,Moderate,33
2010,5,1,Severe,35
2010,5,2,None,49
2010,5,2,Slight,17
2010,5,2,Moderate,9
2010,5,2,Severe,3
2010,5,3,None,40
2010,5,3,Slight,13
2010,5,3,Moderate,5
2010,5,3,Severe,6
2010,5,4,None,188
2010,5,4,Slight,41
2010,5,4,Moderate,11
2010,5,4,Severe,9
2010,5,5,None,1955
2010,5,5,Slight,596
2010,5,5,Moderate,255
2010,5,5,Severe,169
2010,5,6,None,5299
2010,5,6,Slight,1080
2010,5,6,Moderate,396
2010,5,6,Severe,305
2010,5,7,None,14582
2010,5,7,Slight,1907
2010,5,7,Moderate,534
2010,5,7,Severe,510
2010,5,8,None,20483
2010,5,8,Slight,2873
2010,5,8,Moderate,782
2010,5,8,Severe,710
2010,5,9,None,26613
2010,5,9,Slight,4599
2010,5,9,Moderate,1432
2010,5,9,Severe,1131
2010,5,10,None,25908
2010,5,10,Slight,5727
2010,5,10,Moderate,1792
2010,5,10,Severe,1352
2010,5,11,None,24835
2010,5,11,Slight,6184
2010,5,11,Moderate,2251
2010,5,11,Severe,1568
2010,5,12,None,25061
2010,5,12,Slight,6912
2010,5,12,Moderate,2684
2010,5,12,Severe,1897
2010,5,13,None,22278
2010,5,13,Slight,6939
2010,5,13,Moderate,2755
2010,5,13,Severe,1787
2010,5,14,None,23293
2010,5,14,Slight,7498
2010,5,14,Moderate,3279
2010,5,14,Severe,2218
2010,5,15,None,20493
2010,5,15,Slight,7389
2010,5,15,Moderate,3355
2010,5,15,Severe,2573
2010,5,16,None,22232
2010,5,16,Slight,9341
2010,5,16,Moderate,4143
2010,5,16,Severe,3000
2010,5,17,None,20596
2010,5,17,Slight,8623
2010,5,17,Moderate,4146
2010,5,17,Severe,3242
2010,5,18,None,19062
2010,5,18,Slight,8259
2010,5,18,Moderate,4478
2010,5,18,Severe,3849
2010,5,19,None,18464
2010,5,19,Slight,8139
2010,5,19,Moderate,4330
2010,5,19,Severe,3914
2010,5,20,None,19358
2010,5,20,Slight,8337
2010,5,20,Moderate,4880
2010,5,20,Severe,4731
2010,5,21,None,15669
2010,5,21,Slight,6359
2010,5,21,Moderate,4087
2010,5,21,Severe,3739
2010,5,22,None,13605
2010,5,22,Slight,6066
2010,5,22,Moderate,3688
