yr,mon,dep_hour,delay_type,type_count
2010,4,15,Severe,2254
2010,4,16,None,21413
2010,4,16,Slight,6600
2010,4,16,Moderate,3453
2010,4,16,Severe,2423
2010,4,17,None,22421
2010,4,17,Slight,7213
2010,4,17,Moderate,4125
2010,4,17,Severe,2813
2010,4,18,None,20905
2010,4,18,Slight,6089
2010,4,18,Moderate,3846
2010,4,18,Severe,2629
2010,4,19,None,18926
2010,4,19,Slight,5775
2010,4,19,Moderate,3572
2010,4,19,Severe,2659
2010,4,20,None,12536
2010,4,20,Slight,4009
2010,4,20,Moderate,2426
2010,4,20,Severe,1733
2010,4,21,None,9725
2010,4,21,Slight,3096
2010,4,21,Moderate,1802
2010,4,21,Severe,1167
2010,4,22,None,5319
2010,4,22,Slight,1675
2010,4,22,Moderate,766
2010,4,22,Severe,387
2010,4,23,None,1805
2010,4,23,Slight,447
2010,4,23,Moderate,238
2010,4,23,Severe,126
2010,5,0,None,700
2010,5,0,Slight,219
2010,5,0,Moderate,99
2010,5,0,Severe,50
2010,5,1,None,331
2010,5,1,Slight,82
2010,5,1,Moderate,25
2010,5,1,Severe,12
2010,5,2,None,50
2010,5,2,Slight,18
2010,5,2,Moderate,2
2010,5,2,Severe,1
2010,5,3,None,31
2010,5,3,Slight,7
2010,5,3,Moderate,3
2010,5,3,Severe,0
2010,5,4,None,0
2010,5,4,Slight,0
2010,5,4,Moderate,0
2010,5,4,Severe,0
2010,5,5,None,3243
2010,5,5,Slight,794
2010,5,5,Moderate,185
2010,5,5,Severe,131
2010,5,6,None,28966
2010,5,6,Slight,7105
2010,5,6,Moderate,2200
2010,5,6,Severe,1155
2010,5,7,None,27709
2010,5,7,Slight,8247
2010,5,7,Moderate,2890
2010,5,7,Severe,1358
2010,5,8,None,27735
2010,5,8,Slight,7990
2010,5,8,Moderate,3436
2010,5,8,Severe,1696
2010,5,9,None,22236
2010,5,9,Slight,6540
2010,5,9,Moderate,2830
2010,5,9,Severe,1577
2010,5,10,None,25242
2010,5,10,Slight,7710
2010,5,10,Moderate,3671
2010,5,10,Severe,2132
2010,5,11,None,22604
2010,5,11,Slight,7431
2010,5,11,Moderate,3672
2010,5,11,Severe,2076
2010,5,12,None,21837
2010,5,12,Slight,7413
2010,5,12,Moderate,3997
2010,5,12,Severe,2588
2010,5,13,None,22270
2010,5,13,Slight,8050
2010,5,13,Moderate,4269
2010,5,13,Severe,3137
2010,5,14,None,18984
2010,5,14,Slight,7281
2010,5,14,Moderate,4124
2010,5,14,Severe,3062
2010,5,15,None,19803
2010,5,15,Slight,8011
2010,5,15,Moderate,4667
2010,5,15,Severe,3723
2010,5,16,None,18538
2010,5,16,Slight,6966
2010,5,16,Moderate,4401
2010,5,16,Severe,3662
2010,5,17,None,18926
2010,5,17,Slight,7577
2010,5,17,Moderate,5084
2010,5,17,Severe,4570
2010,5,18,None,18661
2010,5,18,Slight,6795
2010,5,18,Moderate,4673
2010,5,18,Severe,4348
2010,5,19,None,16249
2010,5,19,Slight,6078
2010,5,19,Moderate,4547
2010,5,19,Severe,4241
2010,5,20,None,10998
2010,5,20,Slight,4215
2010,5,20,Moderate,2896
2010,5,20,Severe,2506
2010,5,21,None,8809
2010,5,21,Slight,3653
2010,5,21,Moderate,2275
2010,5,21,Severe,1976
2010,5,22,None,5188
2010,5,22,Slight,1720
2010,5,22,Moderate,998
2010,5,22,Severe,612
2010,5,23,None,1788
2010,5,23,Slight,518
2010,5,23,Moderate,274
2010,5,23,Severe,155
2010,6,0,None,699
2010,6,0,Slight,277
2010,6,0,Moderate,130
2010,6,0,Severe,71
2010,6,1,None,412
2010,6,1,Slight,106
2010,6,1,Moderate,40
2010,6,1,Severe,18
2010,6,2,None,60
2010,6,2,Slight,18
2010,6,2,Moderate,0
2010,6,2,Severe,8
2010,6,3,None,44
2010,6,3,Slight,8
2010,6,3,Moderate,6
2010,6,3,Severe,5
2010,6,4,None,1
2010,6,4,Slight,0
2010,6,4,Moderate,0
2010,6,4,Severe,0
2010,6,5,None,3487
2010,6,5,Slight,811
2010,6,5,Moderate,178
2010,6,5,Severe,84
2010,6,6,None,29203
2010,6,6,Slight,7419
2010,6,6,Moderate,2125
2010,6,6,Severe,1071
2010,6,7,None,28252
2010,6,7,Slight,8669
2010,6,7,Moderate,2920
2010,6,7,Severe,1491
2010,6,8,None,26016
2010,6,8,Slight,8720
2010,6,8,Moderate,3538
2010,6,8,Severe,1842
2010,6,9,None,22048
2010,6,9,Slight,7265
2010,6,9,Moderate,3047
2010,6,9,Severe,1820
2010,6,10,None,23983
2010,6,10,Slight,8804
2010,6,10,Moderate,4038
2010,6,10,Severe,2296
2010,6,11,None,21965
2010,6,11,Slight,8045
2010,6,11,Moderate,3797
2010,6,11,Severe,2335
2010,6,12,None,20418
2010,6,12,Slight,7862
2010,6,12,Moderate,4214
2010,6,12,Severe,2839
2010,6,13,None,20526
2010,6,13,Slight,8284
2010,6,13,Moderate,4660
2010,6,13,Severe,3383
2010,6,14,None,17168
2010,6,14,Slight,7442
2010,6,14,Moderate,5202
2010,6,14,Severe,3712
2010,6,15,None,17751
2010,6,15,Slight,7881
2010,6,15,Moderate,5570
2010,6,15,Severe,4509
2010,6,16,None,16503
2010,6,16,Slight,7180
2010,6,16,Moderate,5310
2010,6,16,Severe,4820
2010,6,17,None,16712
2010,6,17,Slight,7604
2010,6,17,Moderate,6058
2010,6,17,Severe,5758
2010,6,18,None,16011
2010,6,18,Slight,6822
2010,6,18,Moderate,5527
2010,6,18,Severe,5588
2010,6,19,None,14709
2010,6,19,Slight,6617
