yr,mon,arr_hour,delay_type,type_count
2010,5,20,Moderate,5196
2010,5,20,Severe,4889
2010,5,21,None,16122
2010,5,21,Slight,5755
2010,5,21,Moderate,4233
2010,5,21,Severe,3744
2010,5,22,None,14547
2010,5,22,Slight,5448
2010,5,22,Moderate,3627
2010,5,22,Severe,3332
2010,5,23,None,11263
2010,5,23,Slight,4192
2010,5,23,Moderate,2819
2010,5,23,Severe,2206
2010,6,0,None,2300
2010,6,0,Slight,796
2010,6,0,Moderate,615
2010,6,0,Severe,618
2010,6,1,None,430
2010,6,1,Slight,113
2010,6,1,Moderate,72
2010,6,1,Severe,75
2010,6,2,None,55
2010,6,2,Slight,20
2010,6,2,Moderate,10
2010,6,2,Severe,12
2010,6,3,None,61
2010,6,3,Slight,8
2010,6,3,Moderate,7
2010,6,3,Severe,4
2010,6,4,None,323
2010,6,4,Slight,59
2010,6,4,Moderate,20
2010,6,4,Severe,10
2010,6,5,None,2149
2010,6,5,Slight,661
2010,6,5,Moderate,333
2010,6,5,Severe,225
2010,6,6,None,5264
2010,6,6,Slight,1557
2010,6,6,Moderate,635
2010,6,6,Severe,396
2010,6,7,None,13056
2010,6,7,Slight,3606
2010,6,7,Moderate,1027
2010,6,7,Severe,556
2010,6,8,None,18107
2010,6,8,Slight,5027
2010,6,8,Moderate,1744
2010,6,8,Severe,906
2010,6,9,None,23720
2010,6,9,Slight,7336
2010,6,9,Moderate,2438
2010,6,9,Severe,1295
2010,6,10,None,23000
2010,6,10,Slight,7835
2010,6,10,Moderate,3065
2010,6,10,Severe,1607
2010,6,11,None,22010
2010,6,11,Slight,7113
2010,6,11,Moderate,2894
2010,6,11,Severe,1736
2010,6,12,None,23731
2010,6,12,Slight,7880
2010,6,12,Moderate,3314
2010,6,12,Severe,2056
2010,6,13,None,20565
2010,6,13,Slight,7454
2010,6,13,Moderate,3590
2010,6,13,Severe,2286
2010,6,14,None,21280
2010,6,14,Slight,8210
2010,6,14,Moderate,4181
2010,6,14,Severe,2658
2010,6,15,None,18154
2010,6,15,Slight,7494
2010,6,15,Moderate,4069
2010,6,15,Severe,2898
2010,6,16,None,20617
2010,6,16,Slight,8881
2010,6,16,Moderate,5562
2010,6,16,Severe,3856
2010,6,17,None,17665
2010,6,17,Slight,7513
2010,6,17,Moderate,5490
2010,6,17,Severe,4456
2010,6,18,None,17520
2010,6,18,Slight,7857
2010,6,18,Moderate,5816
2010,6,18,Severe,5368
2010,6,19,None,16110
2010,6,19,Slight,7285
2010,6,19,Moderate,5718
2010,6,19,Severe,5196
2010,6,20,None,17724
2010,6,20,Slight,7877
2010,6,20,Moderate,6447
2010,6,20,Severe,6374
2010,6,21,None,13985
2010,6,21,Slight,5918
2010,6,21,Moderate,5015
2010,6,21,Severe,4969
2010,6,22,None,12964
2010,6,22,Slight,5471
2010,6,22,Moderate,4669
2010,6,22,Severe,4506
2010,6,23,None,10660
2010,6,23,Slight,4496
2010,6,23,Moderate,3660
2010,6,23,Severe,3240
2010,7,0,None,2309
2010,7,0,Slight,904
2010,7,0,Moderate,735
2010,7,0,Severe,554
2010,7,1,None,499
2010,7,1,Slight,171
2010,7,1,Moderate,121
2010,7,1,Severe,89
2010,7,2,None,29
2010,7,2,Slight,27
2010,7,2,Moderate,18
2010,7,2,Severe,20
2010,7,3,None,53
2010,7,3,Slight,13
2010,7,3,Moderate,19
2010,7,3,Severe,8
2010,7,4,None,406
2010,7,4,Slight,52
2010,7,4,Moderate,17
2010,7,4,Severe,19
2010,7,5,None,2395
2010,7,5,Slight,710
2010,7,5,Moderate,417
2010,7,5,Severe,274
2010,7,6,None,5807
2010,7,6,Slight,1521
2010,7,6,Moderate,563
2010,7,6,Severe,411
2010,7,7,None,13678
2010,7,7,Slight,3762
2010,7,7,Moderate,967
2010,7,7,Severe,584
2010,7,8,None,18827
2010,7,8,Slight,5193
2010,7,8,Moderate,1676
2010,7,8,Severe,989
2010,7,9,None,25203
2010,7,9,Slight,7423
2010,7,9,Moderate,2339
2010,7,9,Severe,1337
2010,7,10,None,23859
2010,7,10,Slight,7996
2010,7,10,Moderate,3176
2010,7,10,Severe,1936
2010,7,11,None,22890
2010,7,11,Slight,7322
2010,7,11,Moderate,3001
2010,7,11,Severe,1618
2010,7,12,None,24888
2010,7,12,Slight,8051
2010,7,12,Moderate,3556
2010,7,12,Severe,1946
2010,7,13,None,21788
2010,7,13,Slight,7617
2010,7,13,Moderate,3681
2010,7,13,Severe,2109
2010,7,14,None,22096
2010,7,14,Slight,8411
2010,7,14,Moderate,4419
2010,7,14,Severe,2671
2010,7,15,None,19106
2010,7,15,Slight,7452
2010,7,15,Moderate,4257
2010,7,15,Severe,2859
2010,7,16,None,21327
2010,7,16,Slight,9026
2010,7,16,Moderate,5702
2010,7,16,Severe,4020
2010,7,17,None,17687
2010,7,17,Slight,7852
2010,7,17,Moderate,5696
2010,7,17,Severe,4586
2010,7,18,None,18206
2010,7,18,Slight,7820
2010,7,18,Moderate,5997
2010,7,18,Severe,5463
2010,7,19,None,17459
2010,7,19,Slight,7267
2010,7,19,Moderate,5774
2010,7,19,Severe,5585
2010,7,20,None,18262
2010,7,20,Slight,7868
2010,7,20,Moderate,6543
2010,7,20,Severe,6621
2010,7,21,None,14695
2010,7,21,Slight,6124
2010,7,21,Moderate,5218
2010,7,21,Severe,5310
2010,7,22,None,12981
2010,7,22,Slight,5549
2010,7,22,Moderate,4946
2010,7,22,Severe,4481
2010,7,23,None,11265
2010,7,23,Slight,4836
2010,7,23,Moderate,3711
2010,7,23,Severe,3467
2010,8,0,None,2557
2010,8,0,Slight,807
2010,8,0,Moderate,565
2010,8,0,Severe,455
2010,8,1,None,417
2010,8,1,Slight,123
2010,8,1,Moderate,88
2010,8,1,Severe,62
2010,8,2,None,28
2010,8,2,Slight,25
2010,8,2,Moderate,16
2010,8,2,Severe,9
2010,8,3,None,59
2010,8,3,Slight,10
2010,8,3,Moderate,11
2010,8,3,Severe,10
2010,8,4,None,390
2010,8,4,Slight,32
2010,8,4,Moderate,18
2010,8,4,Severe,10
2010,8,5,None,2589
2010,8,5,Slight,564
2010,8,5,Moderate,285
2010,8,5,Severe,193
2010,8,6,None,6051
2010,8,6,Slight,1211
2010,8,6,Moderate,442
