yr,mon,u_carrier,delay_type,type_count
2010,3,VX,Slight,0
2010,3,VX,Moderate,0
2010,3,VX,Severe,0
2010,3,WN,None,25863
2010,3,WN,Slight,22386
2010,3,WN,Moderate,9543
2010,3,WN,Severe,4775
2010,3,XE,None,18880
2010,3,XE,Slight,5555
2010,3,XE,Moderate,3068
2010,3,XE,Severe,3151
2010,3,YV,None,11499
2010,3,YV,Slight,1412
2010,3,YV,Moderate,1038
2010,3,YV,Severe,1007
2010,4,9E,None,12144
2010,4,9E,Slight,2051
2010,4,9E,Moderate,1045
2010,4,9E,Severe,696
2010,4,AA,None,38240
2010,4,AA,Slight,10546
2010,4,AA,Moderate,4618
2010,4,AA,Severe,3932
2010,4,AS,None,8254
2010,4,AS,Slight,1450
2010,4,AS,Moderate,406
2010,4,AS,Severe,292
2010,4,B6,None,12384
2010,4,B6,Slight,3307
2010,4,B6,Moderate,1584
2010,4,B6,Severe,1128
2010,4,CO,None,14779
2010,4,CO,Slight,9424
2010,4,CO,Moderate,2406
2010,4,CO,Severe,974
2010,4,DH,None,0
2010,4,DH,Slight,0
2010,4,DH,Moderate,0
2010,4,DH,Severe,0
2010,4,DL,None,52835
2010,4,DL,Slight,17201
2010,4,DL,Moderate,6601
2010,4,DL,Severe,3798
2010,4,EV,None,17285
2010,4,EV,Slight,2478
2010,4,EV,Moderate,1231
2010,4,EV,Severe,1474
2010,4,F9,None,6447
2010,4,F9,Slight,1920
2010,4,F9,Moderate,795
2010,4,F9,Severe,342
2010,4,FL,None,17925
2010,4,FL,Slight,2902
2010,4,FL,Moderate,1342
2010,4,FL,Severe,1019
2010,4,HA,None,346
2010,4,HA,Slight,122
2010,4,HA,Moderate,36
2010,4,HA,Severe,31
2010,4,HP,None,0
2010,4,HP,Slight,0
2010,4,HP,Moderate,0
2010,4,HP,Severe,0
2010,4,KH,None,0
2010,4,KH,Slight,0
2010,4,KH,Moderate,0
2010,4,KH,Severe,0
2010,4,MQ,None,24978
2010,4,MQ,Slight,5882
2010,4,MQ,Moderate,3176
2010,4,MQ,Severe,2227
2010,4,NW,None,0
2010,4,NW,Slight,0
2010,4,NW,Moderate,0
2010,4,NW,Severe,0
2010,4,OH,None,8211
