yr,mon,dep_hour,delay_type,type_count
2010,3,22,Moderate,807
2010,3,22,Severe,701
2010,3,23,None,1835
2010,3,23,Slight,609
2010,3,23,Moderate,274
2010,3,23,Severe,165
2010,4,0,None,667
2010,4,0,Slight,260
2010,4,0,Moderate,66
2010,4,0,Severe,44
2010,4,1,None,325
2010,4,1,Slight,63
2010,4,1,Moderate,24
2010,4,1,Severe,6
2010,4,2,None,68
2010,4,2,Slight,11
2010,4,2,Moderate,5
2010,4,2,Severe,4
2010,4,3,None,28
2010,4,3,Slight,1
2010,4,3,Moderate,1
2010,4,3,Severe,0
2010,4,4,None,27
2010,4,4,Slight,3
2010,4,4,Moderate,0
2010,4,4,Severe,0
2010,4,5,None,4030
2010,4,5,Slight,427
2010,4,5,Moderate,94
2010,4,5,Severe,76
2010,4,6,None,33436
2010,4,6,Slight,4307
2010,4,6,Moderate,864
2010,4,6,Severe,686
2010,4,7,None,31250
2010,4,7,Slight,5752
2010,4,7,Moderate,1286
2010,4,7,Severe,886
2010,4,8,None,30499
2010,4,8,Slight,6452
2010,4,8,Moderate,1729
2010,4,8,Severe,1093
2010,4,9,None,23602
2010,4,9,Slight,5825
2010,4,9,Moderate,1735
2010,4,9,Severe,1032
2010,4,10,None,25945
2010,4,10,Slight,7220
2010,4,10,Moderate,2402
2010,4,10,Severe,1357
2010,4,11,None,24402
2010,4,11,Slight,6836
2010,4,11,Moderate,2408
2010,4,11,Severe,1410
2010,4,12,None,23314
2010,4,12,Slight,6696
2010,4,12,Moderate,2593
2010,4,12,Severe,1523
2010,4,13,None,24707
2010,4,13,Slight,7648
2010,4,13,Moderate,2889
2010,4,13,Severe,2036
2010,4,14,None,20018
2010,4,14,Slight,7384
2010,4,14,Moderate,3065
2010,4,14,Severe,1959
2010,4,15,None,21498
2010,4,15,Slight,7654
2010,4,15,Moderate,3421
2010,4,15,Severe,2315
2010,4,16,None,20738
2010,4,16,Slight,7275
2010,4,16,Moderate,3454
2010,4,16,Severe,2422
2010,4,17,None,21778
2010,4,17,Slight,7989
2010,4,17,Moderate,4103
2010,4,17,Severe,2702
2010,4,18,None,20125
2010,4,18,Slight,6982
2010,4,18,Moderate,3676
2010,4,18,Severe,2686
2010,4,19,None,18263
2010,4,19,Slight,6463
2010,4,19,Moderate,3485
2010,4,19,Severe,2721
2010,4,20,None,12163
2010,4,20,Slight,4192
2010,4,20,Moderate,2501
2010,4,20,Severe,1848
2010,4,21,None,9502
2010,4,21,Slight,3328
2010,4,21,Moderate,1713
2010,4,21,Severe,1247
2010,4,22,None,5438
2010,4,22,Slight,1585
2010,4,22,Moderate,689
2010,4,22,Severe,435
2010,4,23,None,1717
2010,4,23,Slight,523
2010,4,23,Moderate,225
2010,4,23,Severe,151
2010,5,0,None,708
2010,5,0,Slight,198
2010,5,0,Moderate,107
2010,5,0,Severe,55
2010,5,1,None,347
