yr,mon,u_carrier,delay_type,type_count
2010,4,DH,Moderate,0
2010,4,DH,Severe,0
2010,4,DL,None,51783
2010,4,DL,Slight,16717
2010,4,DL,Moderate,7914
2010,4,DL,Severe,4021
2010,4,EV,None,17206
2010,4,EV,Slight,2671
2010,4,EV,Moderate,1241
2010,4,EV,Severe,1350
2010,4,F9,None,6091
2010,4,F9,Slight,2093
2010,4,F9,Moderate,933
2010,4,F9,Severe,387
2010,4,FL,None,16666
2010,4,FL,Slight,3931
2010,4,FL,Moderate,1542
2010,4,FL,Severe,1049
2010,4,HA,None,290
2010,4,HA,Slight,120
2010,4,HA,Moderate,90
2010,4,HA,Severe,35
2010,4,HP,None,0
2010,4,HP,Slight,0
2010,4,HP,Moderate,0
2010,4,HP,Severe,0
2010,4,KH,None,0
2010,4,KH,Slight,0
2010,4,KH,Moderate,0
2010,4,KH,Severe,0
2010,4,MQ,None,23769
2010,4,MQ,Slight,6752
2010,4,MQ,Moderate,3342
2010,4,MQ,Severe,2400
2010,4,NW,None,0
2010,4,NW,Slight,0
2010,4,NW,Moderate,0
2010,4,NW,Severe,0
2010,4,OH,None,6322
2010,4,OH,Slight,2102
2010,4,OH,Moderate,1115
2010,4,OH,Severe,687
2010,4,OO,None,32234
2010,4,OO,Slight,10728
2010,4,OO,Moderate,4332
2010,4,OO,Severe,3107
2010,4,TZ,None,0
2010,4,TZ,Slight,0
2010,4,TZ,Moderate,0
2010,4,TZ,Severe,0
2010,4,UA,None,31591
2010,4,UA,Slight,4293
2010,4,UA,Moderate,2322
2010,4,UA,Severe,1966
2010,4,US,None,28264
2010,4,US,Slight,7629
2010,4,US,Moderate,2898
2010,4,US,Severe,1181
2010,4,VX,None,0
2010,4,VX,Slight,0
2010,4,VX,Moderate,0
2010,4,VX,Severe,0
2010,4,WN,None,40081
2010,4,WN,Slight,12855
2010,4,WN,Moderate,6215
2010,4,WN,Severe,2930
2010,4,XE,None,18050
2010,4,XE,Slight,7658
2010,4,XE,Moderate,3368
2010,4,XE,Severe,1618
2010,4,YV,None,10046
2010,4,YV,Slight,2186
2010,4,YV,Moderate,868
2010,4,YV,Severe,784
2010,5,9E,None,8971
2010,5,9E,Slight,3319
2010,5,9E,Moderate,2048
2010,5,9E,Severe,1417
2010,5,AA,None,34714
2010,5,AA,Slight,10436
2010,5,AA,Moderate,6370
2010,5,AA,Severe,6121
2010,5,AS,None,8675
2010,5,AS,Slight,1791
2010,5,AS,Moderate,618
2010,5,AS,Severe,249
2010,5,B6,None,12556
2010,5,B6,Slight,2399
2010,5,B6,Moderate,1637
2010,5,B6,Severe,1429
2010,5,CO,None,16164
2010,5,CO,Slight,7249
2010,5,CO,Moderate,3195
2010,5,CO,Severe,1788
2010,5,DH,None,0
2010,5,DH,Slight,0
2010,5,DH,Moderate,0
2010,5,DH,Severe,0
2010,5,DL,None,43628
2010,5,DL,Slight,19774
2010,5,DL,Moderate,11996
2010,5,DL,Severe,7147
2010,5,EV,None,14944
2010,5,EV,Slight,3302
2010,5,EV,Moderate,2061
2010,5,EV,Severe,2080
2010,5,F9,None,5598
2010,5,F9,Slight,2603
